Act/Int	0
5/3	0.9575688	0.952
5/5	0.7912844	0.796
5/9	0.9954128	1.0
10/3	0.98738533	0.982
10/5	0.9977064	0.996
10/9	1.0	1.0
25/3	0.98165137	0.984
25/5	0.99311924	0.99
25/9	1.0	0.998
50/3	0.98394495	0.98
50/5	1.0	1.0
50/9	1.0	1.0
100/3	0.9965596	0.996
100/5	1.0	1.0
100/9	1.0	1.0

Act/Int	1
5/3	0.6444954	0.66
5/5	0.44610092	0.442
5/9	0.58715594	0.596
10/3	0.90022933	0.884
10/5	1.0	1.0
10/9	0.92087156	0.898
25/3	0.9380734	0.922
25/5	0.9885321	0.974
25/9	0.9885321	0.984
50/3	0.7786697	0.788
50/5	0.76720184	0.754
50/9	0.5538991	0.558
100/3	0.8520642	0.836
100/5	0.5538991	0.558
100/9	1.0	1.0

